Name,ISIN,Symbol,Market,Currency,Turnover,MIC
QUANTUM GENOMICS,FR0011648971,ALQGC,Euronext Growth Paris,EUR,9227.46,ALXP
QUESTERRE ENERGY,CA74836K1003,QEC,Oslo Børs,NOK,609779875,XOSL
QUESTFOR GR-PRICAF,BE0003730448,QFG,Euronext Brussels,EUR,71385675,XBRU
QWAMPLIFY,FR0010889386,ALQWA,Euronext Growth Paris,EUR,91.20,ALXP
RACING FORCE,IT0005466963,RFG,Euronext Growth Milan,EUR,101082.43,EXGM
RACING FORCE,IT0005466963,ALRFG,Euronext Growth Paris,EUR,4191.49,ALXP
RADICI,IT0005379737,RAD,Euronext Growth Milan,EUR,14470.00,EXGM
RAI WAY,IT0005054967,RWAY,Euronext Milan,EUR,880814.62,MTAA
Raiffeisen Bank,AT0000606306,4RBI,EuroTLX,EUR,266.20,ETLX
RAIZE,PTRIZ0AM0009,MLRZE,Euronext Access Lisbon,EUR,1995.00,XMLI
RAMADA,PTFRV0AE0004,RAM,Euronext Lisbon,EUR,9334.20,XLIS
RAMSAY GEN SANTE,FR0000044471,GDS,Euronext Paris,EUR,2375.85,XPAR
RANA GRUBER,NO0010907389,RANA,Oslo Børs,NOK,3536023.20,XOSL
RANDSTAD NV,NL0000379121,RAND,Euronext Amsterdam,EUR,30088330155,XAMS
RAPID NUTRITION,GB00BM9PTW47,ALRPD,Euronext Growth Paris,EUR,258698.2705,ALXP
RATTI,IT0004724107,RAT,Euronext Milan,EUR,614.96,MTAA
RCS MEDIAGROUP,IT0004931496,RCS,Euronext Milan,EUR,179410992,MTAA
REACH SUBSEA,NO0003117202,REACH,Oslo Børs,NOK,3084016.66,XOSL
REALCO,BE0003841583,REAL,Euronext Access Brussels,EUR,1924.00,ALXB
REALITES,FR0011858190,ALREA,Euronext Growth Paris,EUR,226.44,ALXP
REBIRTH,IT0005460081,ALREB,Euronext Growth Paris,EUR,46.40,ALXP
REC SILICON,NO0010112675,RECSI,Oslo Børs,NOK,424244066,XOSL
RECORDATI ORD,IT0003828271,REC,Euronext Milan,EUR,14970063.60,MTAA
RECTICEL,BE0003656676,RECT,Euronext Brussels,EUR,260090.88,XBRU
RED ELECTRICA CORP,ES0173093024,4REE,EuroTLX,EUR,6110.00,ETLX
Redcare Pharma,NL0012044747,4SAE,EuroTLX,EUR,202.40,ETLX
REDELFI,IT0005496101,RDF,Euronext Growth Milan,EUR,156843.79,EXGM
REDFISH,IT0005549354,RFLTC,Euronext Growth Milan,EUR,1175.00,EXGM
REFUELS,NL0015001BF4,REFL,Euronext Growth Oslo,NOK,1864.50,MERK
REGENERON PHARMA,US75886F1075,4REGN,EuroTLX,EUR,954.60,ETLX
REIBEL,BE0003829463,REI,Euronext Access Brussels,EUR,1.00,ALXB
REINET INVESTMENTS,LU0383812293,REINA,Euronext Amsterdam,EUR,156.80,XAMS
RELX,GB00B2B0DG97,REN,Euronext Amsterdam,EUR,29730173.12,XAMS
REMY COINTREAU,FR0000130395,RCO,Euronext Paris,EUR,7162650.75,XPAR
REN,PTREL0AM0008,RENE,Euronext Lisbon,EUR,2820057.30,XLIS
RENAULT,FR0000131906,4RNO,EuroTLX,EUR,687.80,ETLX
RENAULT,FR0000131906,RNO,Euronext Paris,EUR,61241696455,XPAR
RENOVALO,IT0005500571,RNV,Euronext Growth Milan,EUR,2236.50,EXGM
REPLY,IT0005282865,REY,Euronext Milan,EUR,2850929.70,MTAA
REPSOL,ES0173516115,4REP,EuroTLX,EUR,12775.00,ETLX
